  first grasp
  Instance   Optimal Cost     GRASP Cost      Optimized Cost    GAP (GRASP)     GAP (Optimized)  Exec Time (s)
      n60A            453            800                 566        76.6004             24.9448        8.78713
      n60B           1757           3216                2949        83.0393             67.8429        15.6823
      n60C              0              0                   0            nan                 nan        4.94365
      n60D          69102          75035               72784        8.58586             5.32836        13.4978
      n60E          58935          60626               53700        2.86926            -8.88267        12.8259
      n60F          93045         108898               96247         17.038             3.44135         9.7788
      n60G          64632          75442               71873        16.7255             11.2034        11.3449
      n60H         145007         170575              145735        17.6323            0.502045        31.6192
      n60I          43286          57884               46534        33.7245             7.50358        11.9022
      n60J          53555          76714               52541        43.2434            -1.89338        8.71519
      n60K         458752         469814              445326        2.41132            -2.92664        9.86127
      n60L         332941         349567              330890        4.99368           -0.616025        33.2681
      n60M         516926         564403              516637        9.18449          -0.0559074        39.9745
      n60N         492572         504311              492092         2.3832          -0.0974477        15.7385
      n60O         527459         555020              504749        5.22524            -4.30555        18.2752
      n60P         396183         417229              395074        5.31219           -0.279921        8.50437

  no grasp
  Instance   Optimal Cost     GRASP Cost      Optimized Cost    GAP (GRASP)     GAP (Optimized)  Exec Time (s)
      n60A            453         104827                 618        23040.6             36.4238        11.2862
      n60B           1757         493456                3055        27985.1             73.8759        14.8606
      n60C              0          91885                   0            inf                 nan        6.45737
      n60D          69102         498751               71441        621.761             3.38485        15.9574
      n60E          58935         334845               59331         468.16            0.671927        52.3271
      n60F          93045    1.05329e+06               99689        1032.02             7.14063        30.4436
      n60G          64632         447881               72700        592.971              12.483        18.0726
      n60H         145007         839902              152343        479.215             5.05907        38.5175
      n60I          43286         854667               49520        1874.47             14.4019        27.6053
      n60J          53555         858764               56867        1503.52              6.1843        25.2697
      n60K         458752         968821              460168        111.186            0.308664        12.4864
      n60L         332941    1.22208e+06              334771        267.057            0.549647        8.39402
      n60M         516926    1.72884e+06              520926        234.446            0.773805        12.2296
      n60N         492572         990790              495315        101.146            0.556873        35.2419
      n60O         527459    1.40234e+06              535489        165.868             1.52239        70.7278
      n60P         396183    1.26462e+06              404372          219.2             2.06697        33.2888

  correctly applying rvnd
  Instance   Optimal Cost     GRASP Cost      Optimized Cost    GAP (GRASP)     GAP (Optimized)  Exec Time (s)
      n60A            453              0                   0           -100                -100        25.2228
      n60B           1757           1602                 686       -8.82186            -60.9562        44.0782
      n60C              0              0                   0            nan                 nan        10.5593
      n60D          69102          69539               65974       0.632398            -4.52664         24.808
      n60E          58935          53610               52471       -9.03538             -10.968        49.4319
      n60F          93045         101779               91895        9.38686            -1.23596        39.7408
      n60G          64632          65945               61740         2.0315            -4.47456        20.3244
      n60H         145007         149577              134858        3.15157            -6.99897         82.451
      n60I          43286          47499               37213        9.73294            -14.0299        66.3677
      n60J          53555          54284               50060        1.36122              -6.526        38.1073
      n60K         458752         436145              432106       -4.92793            -5.80837        34.7435
      n60L         332941         326537              306269       -1.92346            -8.01103        60.6394
      n60M         516926         516484              500741     -0.0855055            -3.13101        55.9097
      n60N         492572         466905              463576       -5.21081            -5.88665        43.8028
      n60O         527459         492563              477962       -6.61587            -9.38405        78.7977
      n60P         396183         361150              351315       -8.84263            -11.3251        53.3803
