  Instance   Optimal Cost     GRASP Cost      Optimized Cost    GAP (GRASP)     GAP (Optimized)  Exec Time (s)
      n60A            453          656.7               640.8        44.9669              41.457        22.4693
      n60B           1757         3077.9              2862.8        75.1793             62.9368        23.1261
      n60C              0              0                   0              0                   0          9.144
      n60D          69102        71483.7             71023.1        3.44664             2.78009         21.277
      n60E          58935        59981.7             59635.6        1.77602             1.18877        20.9401
      n60F          93045         100167             97953.7        7.65468             5.27562        22.7264
      n60G          64632        71692.1             71690.1        10.9235             10.9204        17.8022
      n60H         145007         152008              149609        4.82804             3.17364        21.6552
      n60I          43286        48862.3               47183        12.8825             9.00291        21.4772
      n60J          53555        57957.1             56835.1        8.21977             6.12473        21.1985
      n60K         458752         461086              460146       0.508793            0.303911        22.4255
      n60L         332941         336026              335547        0.92647            0.782721        20.3842
      n60M         516926         528464              524507        2.23208             1.46659        21.5256
      n60N         492572         494579              494386       0.407413            0.368332        20.4627
      n60O         527459         538527              536385         2.0984             1.69234        21.5901
      n60P         396183         404671              402464        2.14255             1.58548        21.7362
